,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
202,90min/プログラミング演習課題,大学課題,5142,5400.0,2019-05-08T18:22:23+09:00,2019-05-08T19:48:05+09:00,#06aaf5
203,90min/プログラミング演習課題,大学課題,4,5400.0,2019-05-08T16:57:37+09:00,2019-05-08T16:57:41+09:00,#06aaf5
204,90min/プログラミング演習課題,大学課題,2581,5400.0,2019-05-08T15:47:05+09:00,2019-05-08T16:30:06+09:00,#06aaf5
205,ゲームする,休憩,1160,,2019-05-08T15:27:42+09:00,2019-05-08T15:47:02+09:00,#fb8b14
206,90min/プログラミング演習課題,大学課題,9077,5400.0,2019-05-08T12:56:23+09:00,2019-05-08T15:27:40+09:00,#06aaf5
207,60min/ダミーデータ作成,インターン,8896,3600.0,2019-05-08T09:59:16+09:00,2019-05-08T12:27:32+09:00,#205500
208,15min/Changelog聴く,院留学,568,900.0,2019-05-08T09:01:26+09:00,2019-05-08T09:10:54+09:00,#04bb9b
209,90min/watch madagascar3,院留学,5071,5400.0,2019-05-08T07:36:35+09:00,2019-05-08T09:01:06+09:00,#04bb9b
210,90min/AtCoderやる,エンジニアリング,3347,5400.0,2019-05-07T20:58:44+09:00,2019-05-07T21:54:31+09:00,#3750b5
211,ゲームする,休憩,521,,2019-05-07T20:49:03+09:00,2019-05-07T20:57:44+09:00,#fb8b14
212,90min/AtCoderやる,エンジニアリング,5833,5400.0,2019-05-07T19:12:03+09:00,2019-05-07T20:49:16+09:00,#3750b5
213,30min/OpenDataStructure読む（p27から: 2章）,大学課題,72,1800.0,2019-05-07T19:10:49+09:00,2019-05-07T19:12:01+09:00,#06aaf5
214,10min/ZOZOテクノロジーズの記事読む,エンジニアリング,444,600.0,2019-05-07T19:03:18+09:00,2019-05-07T19:10:42+09:00,#3750b5
215,30min/OpenDataStructure読む（p27から: 2章）,大学課題,372,1800.0,2019-05-07T18:56:55+09:00,2019-05-07T19:03:07+09:00,#06aaf5
216,30min/OpenDataStructure読む（p27から: 2章）,大学課題,1078,1800.0,2019-05-07T11:53:12+09:00,2019-05-07T12:11:10+09:00,#06aaf5
217,30min/OpenDataStructure読む（p6からp26: 1章）,大学課題,1908,1800.0,2019-05-07T11:21:04+09:00,2019-05-07T11:52:52+09:00,#06aaf5
218,60min/LGTMメンバーのページデザイン,デザイン,2426,3600.0,2019-05-06T17:47:20+09:00,2019-05-06T18:27:46+09:00,#e20505
219,60min/LGTMメンバーのページデザイン,デザイン,180,3600.0,2019-05-06T17:00:22+09:00,2019-05-06T17:03:22+09:00,#e20505
220,ゲームする,休憩,781,,2019-05-06T16:47:01+09:00,2019-05-06T17:00:02+09:00,#fb8b14
221,60min/LGTMメンバーのページデザイン,デザイン,7162,3600.0,2019-05-06T14:47:26+09:00,2019-05-06T16:46:48+09:00,#e20505
222,60min/LGTMメンバーのページデザイン,デザイン,1584,3600.0,2019-05-06T14:04:23+09:00,2019-05-06T14:30:47+09:00,#e20505
223,60min/SlackにRSS設置する（10個くらい）,コミュニティ運営,928,3600.0,2019-05-06T13:37:12+09:00,2019-05-06T13:52:40+09:00,#890000
224,60min/SlackにRSS設置する（10個くらい）,コミュニティ運営,4353,3600.0,2019-05-06T11:18:24+09:00,2019-05-06T12:30:57+09:00,#890000
225,60min/SlackにRSS設置する（10個くらい）,コミュニティ運営,2982,3600.0,2019-05-06T10:28:21+09:00,2019-05-06T11:18:03+09:00,#890000
226,30min/TOEFLリスニングやる,院留学,1099,1800.0,2019-05-06T09:22:18+09:00,2019-05-06T09:40:37+09:00,#04bb9b
227,ゲームする,休憩,529,,2019-05-06T09:13:16+09:00,2019-05-06T09:22:05+09:00,#fb8b14
228,30min/TOEFLスピーキングやる,院留学,6,1800.0,2019-05-06T09:13:10+09:00,2019-05-06T09:13:16+09:00,#04bb9b
229,10min/Qiitaの記事読む,その他,1703,600.0,2019-05-06T08:44:22+09:00,2019-05-06T09:12:45+09:00,#c56bff
230,10min/情熱に従うよりも情熱を従えるの記事を読む,その他,1207,600.0,2019-05-06T08:24:01+09:00,2019-05-06T08:44:08+09:00,#c56bff
231,90min/watch madagascar3,院留学,4294,5400.0,2019-05-06T06:52:51+09:00,2019-05-06T08:04:25+09:00,#04bb9b
232,120min/OpenDataStructure読みながらレポートの質を高める,大学課題,1801,7200.0,2019-05-05T23:11:36+09:00,2019-05-05T23:41:37+09:00,#06aaf5
233,120min/OpenDataStructure読みながらレポートの質を高める,大学課題,4139,7200.0,2019-05-05T22:00:00+09:00,2019-05-05T23:08:59+09:00,#06aaf5
234,ゲームする,休憩,307,,2019-05-05T21:54:48+09:00,2019-05-05T21:59:55+09:00,#fb8b14
235,120min/OpenDataStructure読みながらレポートの質を高める,大学課題,13,7200.0,2019-05-05T21:54:35+09:00,2019-05-05T21:54:48+09:00,#06aaf5
236,90min/Togglデータのデータ分析,エンジニアリング,1726,5400.0,2019-05-05T21:25:46+09:00,2019-05-05T21:54:32+09:00,#3750b5
237,120min/OpenDataStructure読みながらレポートの質を高める,大学課題,3,7200.0,2019-05-05T21:25:41+09:00,2019-05-05T21:25:44+09:00,#06aaf5
238,15min/history findコマンドを導入する,エンジニアリング,806,900.0,2019-05-05T21:12:11+09:00,2019-05-05T21:25:37+09:00,#3750b5
239,120min/OpenDataStructure読みながらレポートの質を高める,大学課題,473,7200.0,2019-05-05T21:04:03+09:00,2019-05-05T21:11:56+09:00,#06aaf5
240,90min/Togglデータのデータ分析,エンジニアリング,7,5400.0,2019-05-05T21:03:04+09:00,2019-05-05T21:03:11+09:00,#3750b5
241,90min/Togglデータのデータ分析,エンジニアリング,7609,5400.0,2019-05-05T18:42:11+09:00,2019-05-05T20:49:00+09:00,#3750b5
242,90min/Togglデータのデータ分析,エンジニアリング,4872,5400.0,2019-05-05T17:20:56+09:00,2019-05-05T18:42:08+09:00,#3750b5
243,ゲームする,休憩,888,,2019-05-05T15:44:43+09:00,2019-05-05T15:59:31+09:00,#fb8b14
244,60min/AWS EC2インスタンスにDjangoアプリをデプロイ,エンジニアリング,8925,3600.0,2019-05-05T13:15:37+09:00,2019-05-05T15:44:22+09:00,#3750b5
245,90min/Togglデータのデータ分析,エンジニアリング,1199,5400.0,2019-05-05T11:18:36+09:00,2019-05-05T11:38:35+09:00,#3750b5
246,ゲームする,休憩,355,,2019-05-05T11:12:38+09:00,2019-05-05T11:18:33+09:00,#fb8b14
247,90min/Togglデータのデータ分析,エンジニアリング,3769,5400.0,2019-05-05T10:09:46+09:00,2019-05-05T11:12:35+09:00,#3750b5
248,60min/スピーキングのテキストやる,院留学,2056,3600.0,2019-05-05T09:24:46+09:00,2019-05-05T09:59:02+09:00,#04bb9b
249,60min/スピーキングのテキストやる,院留学,945,3600.0,2019-05-05T08:54:18+09:00,2019-05-05T09:10:03+09:00,#04bb9b
250,ゲームする,休憩,306,,2019-05-05T08:49:04+09:00,2019-05-05T08:54:10+09:00,#fb8b14
251,90min/how to train your dragon race,院留学,117,5400.0,2019-05-05T08:26:19+09:00,2019-05-05T08:28:16+09:00,#04bb9b
252,90min/how to train your dragon race,院留学,4072,5400.0,2019-05-05T07:18:24+09:00,2019-05-05T08:26:16+09:00,#04bb9b
253,90min/Togglデータのデータ分析,エンジニアリング,1481,5400.0,2019-05-04T23:03:29+09:00,2019-05-04T23:28:10+09:00,#3750b5
254,ゲームする,休憩,465,,2019-05-04T22:55:43+09:00,2019-05-04T23:03:28+09:00,#fb8b14
255,90min/Togglデータのデータ分析,エンジニアリング,4093,5400.0,2019-05-04T21:47:29+09:00,2019-05-04T22:55:42+09:00,#3750b5
256,90min/Togglデータのデータ分析,エンジニアリング,1448,5400.0,2019-05-04T21:01:23+09:00,2019-05-04T21:25:31+09:00,#3750b5
257,ゲームする,休憩,772,,2019-05-04T20:48:30+09:00,2019-05-04T21:01:22+09:00,#fb8b14
258,90min/Togglデータのデータ分析,エンジニアリング,37,5400.0,2019-05-04T20:47:53+09:00,2019-05-04T20:48:30+09:00,#3750b5
259,90min/Togglデータのデータ分析,エンジニアリング,3528,5400.0,2019-05-04T19:49:02+09:00,2019-05-04T20:47:50+09:00,#3750b5
260,30min/エンジニアとしての目標点とそれに伴う計画を考える,目標/計画,2265,1800.0,2019-05-04T18:14:34+09:00,2019-05-04T18:52:19+09:00,#e19a86
261,30min/LeetCoding何個かやってみて今後の進め方決める,エンジニアリング,2730,1800.0,2019-05-04T17:28:23+09:00,2019-05-04T18:13:53+09:00,#3750b5
262,60min/TOEFL Writingやって今後の進め方決める,院留学,17,3600.0,2019-05-04T17:27:39+09:00,2019-05-04T17:27:56+09:00,#04bb9b
263,ゲームする,休憩,1552,,2019-05-04T17:01:45+09:00,2019-05-04T17:27:37+09:00,#fb8b14
264,20min/Cracking Coding Interview読んで今後の進め方決める,エンジニアリング,8175,1200.0,2019-05-04T14:42:45+09:00,2019-05-04T16:59:00+09:00,#3750b5
265,ゲームする,休憩,506,,2019-05-04T14:33:44+09:00,2019-05-04T14:42:10+09:00,#fb8b14
266,寝る,休憩,1735,,2019-05-04T14:04:22+09:00,2019-05-04T14:33:17+09:00,#fb8b14
267,ゲームする,休憩,1,,2019-05-04T14:04:21+09:00,2019-05-04T14:04:22+09:00,#fb8b14
268,寝る,休憩,50,,2019-05-04T14:03:38+09:00,2019-05-04T14:04:28+09:00,#fb8b14
269,60min/TOEFL Writingやって今後の進め方決める,院留学,2534,3600.0,2019-05-04T13:21:18+09:00,2019-05-04T14:03:32+09:00,#04bb9b
270,60min/スピーキングのテキストやる,院留学,4209,3600.0,2019-05-04T08:15:39+09:00,2019-05-04T09:25:48+09:00,#04bb9b
271,90min/how to train your dragon race,院留学,3350,5400.0,2019-05-04T07:18:46+09:00,2019-05-04T08:14:36+09:00,#04bb9b
272,90min/how to train your dragon race,院留学,2025,5400.0,2019-05-03T22:55:19+09:00,2019-05-03T23:29:04+09:00,#04bb9b
273,15min/今日の振り返りと明日の計画を立てる,目標/計画,511,900.0,2019-05-03T22:46:40+09:00,2019-05-03T22:55:11+09:00,#e19a86
274,90min/how to train your dragon race,院留学,565,5400.0,2019-05-03T22:45:54+09:00,2019-05-03T22:55:19+09:00,#04bb9b
275,15min/今日の振り返りと明日の計画を立てる,目標/計画,376,900.0,2019-05-03T22:33:31+09:00,2019-05-03T22:39:47+09:00,#e19a86
276,150min/情報数理科学2の課題提出まで行く,大学課題,710,9000.0,2019-05-03T22:21:27+09:00,2019-05-03T22:33:17+09:00,#06aaf5
277,150min/情報数理科学2の課題提出まで行く,大学課題,2116,9000.0,2019-05-03T21:46:05+09:00,2019-05-03T22:21:21+09:00,#06aaf5
278,ゲームする,休憩,179,,2019-05-03T21:43:05+09:00,2019-05-03T21:46:04+09:00,#fb8b14
279,150min/情報数理科学2の課題提出まで行く,大学課題,870,9000.0,2019-05-03T21:28:34+09:00,2019-05-03T21:43:04+09:00,#06aaf5
280,150min/情報数理科学2の課題提出まで行く,大学課題,4311,9000.0,2019-05-03T20:16:41+09:00,2019-05-03T21:28:32+09:00,#06aaf5
281,ゲームする,休憩,516,,2019-05-03T20:08:05+09:00,2019-05-03T20:16:41+09:00,#fb8b14
282,150min/情報数理科学2の課題提出まで行く,大学課題,594,9000.0,2019-05-03T19:58:09+09:00,2019-05-03T20:08:03+09:00,#06aaf5
283,ゲームする,休憩,1343,,2019-05-03T19:35:44+09:00,2019-05-03T19:58:07+09:00,#fb8b14
284,150min/情報数理科学2の課題提出まで行く,大学課題,1600,9000.0,2019-05-03T19:09:02+09:00,2019-05-03T19:35:42+09:00,#06aaf5
285,150min/情報数理科学2の課題提出まで行く,大学課題,25,9000.0,2019-05-03T19:08:14+09:00,2019-05-03T19:08:39+09:00,#06aaf5
286,90min/情報工学3の課題提出まで行く,大学課題,3528,5400.0,2019-05-03T18:03:26+09:00,2019-05-03T19:02:14+09:00,#06aaf5
287,寝る,休憩,1980,,2019-05-03T15:54:21+09:00,2019-05-03T16:27:21+09:00,#fb8b14
288,90min/情報工学3の課題提出まで行く,大学課題,1104,5400.0,2019-05-03T15:35:52+09:00,2019-05-03T15:54:16+09:00,#06aaf5
289,ゲームする,休憩,1431,,2019-05-03T15:10:23+09:00,2019-05-03T15:34:14+09:00,#fb8b14
290,10min/記事見る,その他,332,600.0,2019-05-03T15:04:47+09:00,2019-05-03T15:10:19+09:00,#c56bff
291,15min/LeetCode少しやってみる,エンジニアリング,820,900.0,2019-05-03T14:48:08+09:00,2019-05-03T15:01:48+09:00,#3750b5
292,10min/Slack対応諸々,その他,249,600.0,2019-05-03T14:43:32+09:00,2019-05-03T14:47:41+09:00,#c56bff
293,15min/今日の残りの時間の計画を立てる,目標/計画,722,900.0,2019-05-03T14:18:37+09:00,2019-05-03T14:30:39+09:00,#e19a86
294,90min/情報工学3の課題提出まで行く,大学課題,377,5400.0,2019-05-03T14:12:07+09:00,2019-05-03T14:18:24+09:00,#06aaf5
295,90min/情報工学3の課題提出まで行く,大学課題,3738,5400.0,2019-05-03T11:44:07+09:00,2019-05-03T12:46:25+09:00,#06aaf5
296,90min/英語の映画見る,院留学,6183,5400.0,2019-05-03T07:04:55+09:00,2019-05-03T08:47:58+09:00,#04bb9b
297,120min/情報工学5の課題提出まで行く,大学課題,1302,7200.0,2019-05-02T21:46:39+09:00,2019-05-02T22:08:21+09:00,#06aaf5
298,120min/情報工学5の課題提出まで行く,大学課題,2904,7200.0,2019-05-02T20:58:14+09:00,2019-05-02T21:46:38+09:00,#06aaf5
299,120min/情報工学5の課題提出まで行く,大学課題,287,7200.0,2019-05-02T20:51:42+09:00,2019-05-02T20:56:29+09:00,#06aaf5
300,120min/情報工学5の課題提出まで行く,大学課題,846,7200.0,2019-05-02T15:15:56+09:00,2019-05-02T15:30:02+09:00,#06aaf5
301,120min/情報工学5の課題提出まで行く,大学課題,2518,7200.0,2019-05-02T14:33:34+09:00,2019-05-02T15:15:32+09:00,#06aaf5
302,10min/眠いので少し歩き回る（解消されなければコーヒー買う）,休憩,263,600.0,2019-05-02T14:29:08+09:00,2019-05-02T14:33:31+09:00,#fb8b14
303,120min/情報工学5の課題提出まで行く,大学課題,2474,7200.0,2019-05-02T13:47:18+09:00,2019-05-02T14:28:32+09:00,#06aaf5
304,30min/リスニングやる,院留学,1859,1800.0,2019-05-02T08:52:45+09:00,2019-05-02T09:23:44+09:00,#04bb9b
305,90min/Kung Fu Panda3,院留学,5105,5400.0,2019-05-02T07:18:54+09:00,2019-05-02T08:43:59+09:00,#04bb9b
306,20min/GW前半の振り返りをする,振り返り,936,1200.0,2019-05-01T22:55:14+09:00,2019-05-01T23:10:50+09:00,#ea468d
307,60min/プログラミング演習課題,大学課題,2705,3600.0,2019-05-01T21:14:56+09:00,2019-05-01T22:00:01+09:00,#06aaf5
308,40min/DMM英会話,院留学,2403,2400.0,2019-05-01T20:01:17+09:00,2019-05-01T20:41:20+09:00,#04bb9b
309,20min/GW前半の振り返りをする,振り返り,1986,1200.0,2019-05-01T19:23:56+09:00,2019-05-01T19:57:02+09:00,#ea468d
310,30min/自己紹介英語版を作る,院留学,134,1800.0,2019-05-01T19:21:29+09:00,2019-05-01T19:23:43+09:00,#04bb9b
311,30min/自己紹介英語版を作る,院留学,1866,1800.0,2019-05-01T18:47:01+09:00,2019-05-01T19:18:07+09:00,#04bb9b
312,ゲームする,休憩,1077,,2019-05-01T18:28:59+09:00,2019-05-01T18:46:56+09:00,#fb8b14
313,30min/自己紹介英語版を作る,院留学,15,1800.0,2019-05-01T18:28:39+09:00,2019-05-01T18:28:54+09:00,#04bb9b
314,30min/自己紹介日本語版を作る（できるだけ詳細に）,院留学,1247,1800.0,2019-05-01T17:00:15+09:00,2019-05-01T17:21:02+09:00,#04bb9b
315,30min/Googleエンジニア採用の情報をかき集める,インターン,1502,1800.0,2019-05-01T16:33:05+09:00,2019-05-01T16:58:07+09:00,#205500
316,10min/松井さんに連絡する,その他,297,600.0,2019-05-01T16:27:07+09:00,2019-05-01T16:32:04+09:00,#c56bff
317,15min/今後の勉強の優先度を考えるためにGoogleインターンのスケジュールを見る,目標/計画,1069,900.0,2019-05-01T16:09:04+09:00,2019-05-01T16:26:53+09:00,#e19a86
318,ゲームする,休憩,96,,2019-05-01T16:06:00+09:00,2019-05-01T16:07:36+09:00,#fb8b14
319,60min/Googleインターンシップのresumeを書く,インターン,3828,3600.0,2019-05-01T14:51:39+09:00,2019-05-01T15:55:27+09:00,#205500
320,60min/Googleインターンシップのresumeを書く,インターン,5,3600.0,2019-05-01T14:51:27+09:00,2019-05-01T14:51:32+09:00,#205500
321,60min/Googleインターンシップのresumeを書く,インターン,4200,3600.0,2019-05-01T12:33:58+09:00,2019-05-01T13:43:58+09:00,#205500
322,5min/set Siri configuration,院留学,300,300.0,2019-05-01T11:28:41+09:00,2019-05-01T11:33:41+09:00,#04bb9b
323,90min/watch a bee movie,院留学,2526,5400.0,2019-05-01T10:16:21+09:00,2019-05-01T10:58:27+09:00,#04bb9b
324,90min/watch a bee movie,院留学,3000,5400.0,2019-05-01T09:26:11+09:00,2019-05-01T10:16:11+09:00,#04bb9b
325,90min/Kung Fu Panda英語で見る,院留学,1878,5400.0,2019-05-01T08:54:06+09:00,2019-05-01T09:25:24+09:00,#04bb9b
326,90min/Kung Fu Panda英語で見る,院留学,3000,5400.0,2019-05-01T08:03:55+09:00,2019-05-01T08:53:55+09:00,#04bb9b
327,60min/Googleインターンシップのresumeを書く,インターン,3000,3600.0,2019-04-30T20:33:33+09:00,2019-04-30T21:23:33+09:00,#205500
328,60min/Googleインターンシップのresumeを書く,インターン,266,3600.0,2019-04-30T20:12:55+09:00,2019-04-30T20:17:21+09:00,#205500
329,15min/深層学習の具体的な理論を理解する,エンジニアリング,3000,900.0,2019-04-30T18:43:15+09:00,2019-04-30T19:33:15+09:00,#3750b5
330,5min/よしまさとせのしゅんに連絡する,その他,197,300.0,2019-04-30T18:39:41+09:00,2019-04-30T18:42:58+09:00,#c56bff
331,ゲームする,休憩,803,,2019-04-30T18:24:07+09:00,2019-04-30T18:37:30+09:00,#fb8b14
332,60min/Googleインターンシップのresumeを書く,インターン,1168,3600.0,2019-04-30T12:27:04+09:00,2019-04-30T12:46:32+09:00,#205500
333,英語学習系の動画を見る,院留学,637,,2019-04-30T10:53:28+09:00,2019-04-30T11:04:05+09:00,#04bb9b
334,英語学習系の動画を見る,院留学,10333,,2019-04-30T08:00:51+09:00,2019-04-30T10:53:04+09:00,#04bb9b
335,120min/Googleインターンシップのresumeを書く,インターン,3000,7200.0,2019-04-29T15:34:41+09:00,2019-04-29T16:24:41+09:00,#205500
336,120min/Googleインターンシップのresumeを書く,インターン,452,7200.0,2019-04-29T15:06:29+09:00,2019-04-29T15:14:01+09:00,#205500
337,ゲームする,休憩,677,,2019-04-29T14:55:06+09:00,2019-04-29T15:06:23+09:00,#fb8b14
338,120min/Googleインターンシップのresumeを書く,インターン,2887,7200.0,2019-04-29T14:06:57+09:00,2019-04-29T14:55:04+09:00,#205500
339,120min/Googleインターンシップのresumeを書く,インターン,3000,7200.0,2019-04-29T13:16:52+09:00,2019-04-29T14:06:52+09:00,#205500
340,30min/linkedinのプロフィールを充実させる,技術的アウトプット,349,1800.0,2019-04-29T13:04:59+09:00,2019-04-29T13:10:48+09:00,#e20505
341,60min/Googleインターンシップのresume、カバーレターを書く,インターン,38,3600.0,2019-04-29T13:04:01+09:00,2019-04-29T13:04:39+09:00,#205500
342,15min/Googleインターンシップ応募のための情報収集,インターン,2385,900.0,2019-04-29T12:24:13+09:00,2019-04-29T13:03:58+09:00,#205500
343,60min/Googleインターンシップのresume、カバーレターを書く,インターン,273,3600.0,2019-04-29T12:19:39+09:00,2019-04-29T12:24:12+09:00,#205500
344,ゲームする,休憩,481,,2019-04-29T12:11:33+09:00,2019-04-29T12:19:34+09:00,#fb8b14
345,60min/なぜエンジニアインターンに行くのかの記事を書く,技術的アウトプット,519,3600.0,2019-04-29T12:02:53+09:00,2019-04-29T12:11:32+09:00,#e20505
346,60min/なぜエンジニアインターンに行くのかの記事を書く,技術的アウトプット,2317,3600.0,2019-04-29T11:23:39+09:00,2019-04-29T12:02:16+09:00,#e20505
347,15min/DEEP WORKの要約,デザイン,1843,900.0,2019-04-28T22:08:40+09:00,2019-04-28T22:39:23+09:00,#e20505
348,15min/Googleインターンシップ応募のための情報収集,インターン,1273,900.0,2019-04-28T21:47:19+09:00,2019-04-28T22:08:32+09:00,#205500
349,ゲームする,休憩,156,,2019-04-28T21:44:38+09:00,2019-04-28T21:47:14+09:00,#fb8b14
350,15min/Googleインターンシップ応募のための情報収集,インターン,190,900.0,2019-04-28T21:41:22+09:00,2019-04-28T21:44:32+09:00,#205500
351,60min/Slackにあげた院留学の情報をガーッと収集する,院留学,3000,3600.0,2019-04-28T20:51:15+09:00,2019-04-28T21:41:15+09:00,#04bb9b
352,60min/Slackにあげた院留学の情報をガーッと収集する,院留学,1560,3600.0,2019-04-28T20:20:54+09:00,2019-04-28T20:46:54+09:00,#04bb9b
353,15min/Googleインターンシップ応募のための情報収集,インターン,840,900.0,2019-04-28T18:30:04+09:00,2019-04-28T18:44:04+09:00,#205500
354,60min/Googleインターンシップのresume、カバーレターを書く,インターン,720,3600.0,2019-04-28T18:18:45+09:00,2019-04-28T18:30:45+09:00,#205500
355,60min/Googleインターンシップのresume、カバーレターを書く,インターン,874,3600.0,2019-04-28T17:48:54+09:00,2019-04-28T18:03:28+09:00,#205500
356,10min/GoogleSTEP体験記を読む,その他,784,600.0,2019-04-28T17:35:45+09:00,2019-04-28T17:48:49+09:00,#c56bff
357,TogglとTodoistのプロジェクト名を統一する,振り返り,854,,2019-04-28T17:21:01+09:00,2019-04-28T17:35:15+09:00,#ea468d
358,180min/計量社会科学の課題やる,大学課題,2762,10800.0,2019-04-28T16:34:30+09:00,2019-04-28T17:20:32+09:00,#06aaf5
359,ゲームする,休憩,528,,2019-04-28T16:25:36+09:00,2019-04-28T16:34:24+09:00,#fb8b14
360,180min/計量社会科学の課題やる,大学課題,3000,10800.0,2019-04-28T15:34:51+09:00,2019-04-28T16:24:51+09:00,#06aaf5
361,10min/メールの通知を減らす,その他,300,600.0,2019-04-28T15:07:17+09:00,2019-04-28T15:12:17+09:00,#c56bff
362,60min/DEEP WORK,その他インプット,3120,3600.0,2019-04-28T14:11:44+09:00,2019-04-28T15:03:44+09:00,#3750b5
363,60min/DEEP WORK,その他インプット,12,3600.0,2019-04-28T14:11:32+09:00,2019-04-28T14:11:44+09:00,#3750b5
364,寝る,休憩,2054,,2019-04-28T13:37:28+09:00,2019-04-28T14:11:42+09:00,#fb8b14
365,ゲームする,休憩,188,,2019-04-28T13:34:17+09:00,2019-04-28T13:37:25+09:00,#fb8b14
366,60min/DEEP WORK,その他インプット,2726,3600.0,2019-04-28T12:48:51+09:00,2019-04-28T13:34:17+09:00,#3750b5
367,60min/DEEP WORK,その他インプット,515,3600.0,2019-04-28T12:16:43+09:00,2019-04-28T12:25:18+09:00,#3750b5
368,ゲームする,休憩,1312,,2019-04-28T11:54:49+09:00,2019-04-28T12:16:41+09:00,#fb8b14
369,60min/DEEP WORK,その他インプット,3000,3600.0,2019-04-28T10:59:01+09:00,2019-04-28T11:49:01+09:00,#3750b5
370,15min/GWの計画を立てる/時間からどこまでできるかと目標立て,目標/計画,2,900.0,2019-04-27T23:36:11+09:00,2019-04-27T23:36:13+09:00,#e19a86
371,180min/計量社会科学の課題やる,大学課題,1202,10800.0,2019-04-27T18:09:11+09:00,2019-04-27T18:29:13+09:00,#06aaf5
372,ゲームする,休憩,2,,2019-04-27T18:09:09+09:00,2019-04-27T18:09:11+09:00,#fb8b14
373,ゲームする,休憩,2,,2019-04-27T18:09:07+09:00,2019-04-27T18:09:09+09:00,#fb8b14
374,15min/アベンジャーズの予約とる,その他,680,900.0,2019-04-27T17:52:09+09:00,2019-04-27T18:03:29+09:00,#c56bff
375,15min/アベンジャーズの予約とる,その他,1264,900.0,2019-04-27T17:30:46+09:00,2019-04-27T17:51:50+09:00,#c56bff
376,60min/Googleインターンシップのresume、カバーレターを書く,インターン,1745,3600.0,2019-04-27T17:00:03+09:00,2019-04-27T17:29:08+09:00,#205500
377,180min/情報工学3の課題やる,大学課題,3000,10800.0,2019-04-27T16:27:21+09:00,2019-04-27T17:17:21+09:00,#06aaf5
378,ゲームする,休憩,303,,2019-04-27T16:22:18+09:00,2019-04-27T16:27:21+09:00,#fb8b14
379,180min/情報工学3の課題やる,大学課題,243,10800.0,2019-04-27T15:53:55+09:00,2019-04-27T15:57:58+09:00,#06aaf5
380,ゲームする,休憩,142,,2019-04-27T15:46:43+09:00,2019-04-27T15:49:05+09:00,#fb8b14
381,180min/情報工学3の課題やる,大学課題,3000,10800.0,2019-04-27T14:56:23+09:00,2019-04-27T15:46:23+09:00,#06aaf5
382,ゲームする,休憩,677,,2019-04-27T14:45:01+09:00,2019-04-27T14:56:18+09:00,#fb8b14
383,180min/情報工学3の課題やる,大学課題,3000,10800.0,2019-04-27T13:54:45+09:00,2019-04-27T14:44:45+09:00,#06aaf5
384,180min/情報工学3の課題やる,大学課題,3000,10800.0,2019-04-27T13:04:31+09:00,2019-04-27T13:54:31+09:00,#06aaf5
385,ゲームする,休憩,586,,2019-04-27T12:54:40+09:00,2019-04-27T13:04:26+09:00,#fb8b14
386,180min/計量社会科学の課題やる,大学課題,117,10800.0,2019-04-27T10:41:27+09:00,2019-04-27T10:43:24+09:00,#06aaf5
387,10min/総長の言葉を読む,その他,959,600.0,2019-04-27T10:19:35+09:00,2019-04-27T10:35:34+09:00,#c56bff
388,5min/クロームのタブを整理する,その他,202,300.0,2019-04-27T10:16:00+09:00,2019-04-27T10:19:22+09:00,#c56bff
389,180min/情報数理科学2の課題やる,大学課題,408,10800.0,2019-04-27T10:08:55+09:00,2019-04-27T10:15:43+09:00,#06aaf5
390,15min/GWの計画を立てる/時間からどこまでできるかと目標立て,目標/計画,772,900.0,2019-04-27T09:42:02+09:00,2019-04-27T09:54:54+09:00,#e19a86
391,ゲームする,休憩,378,,2019-04-27T09:35:40+09:00,2019-04-27T09:41:58+09:00,#fb8b14
392,15min/GWの計画を立てる/時間からどこまでできるかと目標立て,目標/計画,961,900.0,2019-04-27T09:19:29+09:00,2019-04-27T09:35:30+09:00,#e19a86
393,15min/GWの計画を立てる/GW期間中にやりたいことをリストアップ&優先度付け,目標/計画,969,900.0,2019-04-27T09:02:38+09:00,2019-04-27T09:18:47+09:00,#e19a86
394,5min/GWの計画を立てる/GW期間中に取れる時間の見積もり,目標/計画,307,300.0,2019-04-27T08:56:53+09:00,2019-04-27T09:02:00+09:00,#e19a86
395,30min/GWの計画を立てる,目標/計画,247,1800.0,2019-04-27T08:52:10+09:00,2019-04-27T08:56:17+09:00,#e19a86
396,20min/単語の発音200個やる,院留学,527,1200.0,2019-04-27T08:41:00+09:00,2019-04-27T08:49:47+09:00,#04bb9b
397,10min/LGTMの今後の方針について自分の考えを言語化する,その他,890,600.0,2019-04-26T18:12:29+09:00,2019-04-26T18:27:19+09:00,#c56bff
398,20min/iphoneを探すをオフにする,その他,1458,1200.0,2019-04-26T08:47:38+09:00,2019-04-26T09:11:56+09:00,#c56bff
399,20min/iphoneを探すをオフにする,その他,627,1200.0,2019-04-26T08:32:31+09:00,2019-04-26T08:42:58+09:00,#c56bff
400,20min/単語の発音200個やる,院留学,1083,1200.0,2019-04-26T08:01:06+09:00,2019-04-26T08:19:09+09:00,#04bb9b
401,15min/実験のレポート（グラフの描画まで）やる,大学課題,364,900.0,2019-04-25T22:42:59+09:00,2019-04-25T22:49:03+09:00,#06aaf5
402,40min/ワンダーウーマン見る,院留学,4500,2400.0,2019-04-25T08:25:00+09:00,2019-04-25T09:40:00+09:00,#04bb9b
