,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
46,90min/情報工学5の課題,大学課題,2978,5400.0,2019-05-23T22:06:44+09:00,2019-05-23T22:56:22+09:00,#06aaf5
47,20min/PayPay登録する,その他,770,1200.0,2019-05-23T21:26:35+09:00,2019-05-23T21:39:25+09:00,#c56bff
48,90min/情報工学5の課題,大学課題,8288,5400.0,2019-05-23T19:06:42+09:00,2019-05-23T21:24:50+09:00,#06aaf5
49,ゲームする,休憩,331,,2019-05-23T19:01:10+09:00,2019-05-23T19:06:41+09:00,#fb8b14
50,90min/情報工学5の課題,大学課題,2034,5400.0,2019-05-23T18:27:13+09:00,2019-05-23T19:01:07+09:00,#06aaf5
51,ゲームする,休憩,326,,2019-05-23T18:21:40+09:00,2019-05-23T18:27:06+09:00,#fb8b14
52,90min/情報工学5の課題,大学課題,7055,5400.0,2019-05-23T16:23:58+09:00,2019-05-23T18:21:33+09:00,#06aaf5
53,20min/TOEFLリスニング,院留学,1104,1200.0,2019-05-23T08:46:06+09:00,2019-05-23T09:04:30+09:00,#04bb9b
54,40min/TOEFLスピーキング,院留学,3708,2400.0,2019-05-23T07:45:05+09:00,2019-05-23T08:46:53+09:00,#04bb9b
55,30min/ZOZOのインフラの部分の理解,インターン,2427,1800.0,2019-05-22T18:16:54+09:00,2019-05-22T18:57:21+09:00,#205500
56,180min/プログラミング演習,大学課題,626,10800.0,2019-05-22T18:06:27+09:00,2019-05-22T18:16:53+09:00,#06aaf5
57,30min/ZOZOのインフラの部分の理解,インターン,123,1800.0,2019-05-22T17:12:16+09:00,2019-05-22T17:14:19+09:00,#205500
58,180min/プログラミング演習,大学課題,9686,10800.0,2019-05-22T14:00:07+09:00,2019-05-22T16:41:33+09:00,#06aaf5
59,10min/日報書く,インターン,729,600.0,2019-05-22T13:47:54+09:00,2019-05-22T14:00:03+09:00,#205500
60,180min/プログラミング演習,大学課題,2807,10800.0,2019-05-22T13:00:59+09:00,2019-05-22T13:47:46+09:00,#06aaf5
